Species,Repository,Number,Carapace-plastron_width,Length-height,ecology,Specimen_number,Unique_ID,Carapace_width_height,Hand_webbing,Source
Dermatemys_mawii,USNM,6521,1.84,3.08,aquatic,USNM_6521,Dermatemys_mawii_USNM_6521,2.060606061,2,Lichtig_and_Lucas_2017_original_measurement
Dermatemys_mawii,USNM,6522,1.88,2.76,aquatic,USNM_6522,Dermatemys_mawii_USNM_6522,1.863945578,2,Lichtig_and_Lucas_2017_original_measurement
Emydoidea_blandingii,FLMNH,18931,1.29,2.74,aquatic,FLMNH_18931,Emydoidea_blandingii_FLMNH_18931,1.818181818,1,Lichtig_and_Lucas_2017_original_measurement
Emydoidea_blandingii,FLMNH,150393,1.25,2.61,aquatic,FLMNH_150393,Emydoidea_blandingii_FLMNH_150393,1.843304843,1,Lichtig_and_Lucas_2017_original_measurement
Emydoidea_blandingii,MPM,1680,1.43,2.28,aquatic,MPM_1680,Emydoidea_blandingii_MPM_1680,1.698113208,1,Lichtig_and_Lucas_2017_original_measurement
Emydoidea_blandingii,MPM,24396,1.52,2.43,aquatic,MPM_24396,Emydoidea_blandingii_MPM_24396,2,1,Lichtig_and_Lucas_2017_original_measurement
Eretmochelys_imbricata,Unknown,Unknown,2.8,3.2,aquatic,Unknown_Unknown,Eretmochelys_imbricata_Unknown_Unknown,NA,4,Lichtig_and_Lucas_2017_original_measurement
Eretmochelys_imbricata,SMF,36067,3.47,4.42,aquatic,SMF_36067,Eretmochelys_imbricata_SMF_36067,3.35,4,new_measurement_this_study
Eretmochelys_imbricata,SMF,unnumbered,2.98,3.67,aquatic,SMF_unnumbered,Eretmochelys_imbricata_SMF_unnumbered,2.48,4,new_measurement_this_study
Geochelone_elegans,FLMNH,wa 439,1.42,1.64,terrestrial,FLMNH_wa 439,Geochelone_elegans_FLMNH_wa 439,1.179057592,0,Lichtig_and_Lucas_2017_original_measurement
